culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,adelie,chinstrap,gentoo
47.5,16.8,199,3900,0.0,1.0,0.0
41.1,18.1,205,4300,1.0,0.0,0.0
43.1,19.2,197,3500,1.0,0.0,0.0
36.0,17.8,195,3450,1.0,0.0,0.0
52.1,17.0,230,5550,0.0,0.0,1.0
45.2,16.6,191,3250,0.0,1.0,0.0
52.2,17.1,228,5400,0.0,0.0,1.0
50.8,15.7,226,5200,0.0,0.0,1.0
42.7,13.7,208,3950,0.0,0.0,1.0
46.1,15.1,215,5100,0.0,0.0,1.0
37.6,17.0,185,3600,1.0,0.0,0.0
42.5,16.7,187,3350,0.0,1.0,0.0
47.5,14.0,212,4875,0.0,0.0,1.0
34.4,18.4,184,3325,1.0,0.0,0.0
46.7,17.9,195,3300,0.0,1.0,0.0
42.2,18.5,180,3550,1.0,0.0,0.0
52.0,18.1,201,4050,0.0,1.0,0.0
47.3,13.8,216,4725,0.0,0.0,1.0
36.6,18.4,184,3475,1.0,0.0,0.0
46.8,16.5,189,3650,0.0,1.0,0.0
38.2,18.1,185,3950,1.0,0.0,0.0
40.1,18.9,188,4300,1.0,0.0,0.0
43.4,14.4,218,4600,0.0,0.0,1.0
34.5,18.1,187,2900,1.0,0.0,0.0
45.8,18.9,197,4150,1.0,0.0,0.0
42.7,18.3,196,4075,1.0,0.0,0.0
46.5,14.8,217,5200,0.0,0.0,1.0
45.2,17.8,198,3950,0.0,1.0,0.0
43.6,13.9,217,4900,0.0,0.0,1.0
49.1,14.8,220,5150,0.0,0.0,1.0
51.3,14.2,218,5300,0.0,0.0,1.0
49.2,18.2,195,4400,0.0,1.0,0.0
38.1,16.5,198,3825,1.0,0.0,0.0
42.0,19.5,200,4050,1.0,0.0,0.0
45.2,13.8,215,4750,0.0,0.0,1.0
50.0,15.9,224,5350,0.0,0.0,1.0
44.1,18.0,210,4000,1.0,0.0,0.0
41.4,18.6,191,3700,1.0,0.0,0.0
41.5,18.3,195,4300,1.0,0.0,0.0
51.0,18.8,203,4100,0.0,1.0,0.0
49.8,16.8,230,5700,0.0,0.0,1.0
50.1,17.9,190,3400,0.0,1.0,0.0
40.5,17.9,187,3200,1.0,0.0,0.0
38.1,17.0,181,3175,1.0,0.0,0.0
54.3,15.7,231,5650,0.0,0.0,1.0
44.1,19.7,196,4400,1.0,0.0,0.0
36.5,18.0,182,3150,1.0,0.0,0.0
48.7,15.1,222,5350,0.0,0.0,1.0
39.6,18.1,186,4450,1.0,0.0,0.0
37.8,17.3,180,3700,1.0,0.0,0.0
45.5,13.9,210,4200,0.0,0.0,1.0
36.2,17.3,187,3300,1.0,0.0,0.0
38.2,20.0,190,3900,1.0,0.0,0.0
54.2,20.8,201,4300,0.0,1.0,0.0
45.5,17.0,196,3500,0.0,1.0,0.0
39.6,20.7,191,3900,1.0,0.0,0.0
50.0,16.3,230,5700,0.0,0.0,1.0
50.0,19.5,196,3900,0.0,1.0,0.0
46.2,17.5,187,3650,0.0,1.0,0.0
45.2,15.8,215,5300,0.0,0.0,1.0
37.8,18.3,174,3400,1.0,0.0,0.0
49.5,19.0,200,3800,0.0,1.0,0.0
47.2,15.5,215,4975,0.0,0.0,1.0
51.1,16.5,225,5250,0.0,0.0,1.0
50.8,18.5,201,4450,0.0,1.0,0.0
40.6,17.2,187,3475,1.0,0.0,0.0
35.5,16.2,195,3350,1.0,0.0,0.0
39.6,17.2,196,3550,1.0,0.0,0.0
41.5,18.5,201,4000,1.0,0.0,0.0
39.7,18.9,184,3550,1.0,0.0,0.0
50.9,19.1,196,3550,0.0,1.0,0.0
39.5,16.7,178,3250,1.0,0.0,0.0
35.1,19.4,193,4200,1.0,0.0,0.0
37.7,18.7,180,3600,1.0,0.0,0.0
38.6,17.2,199,3750,1.0,0.0,0.0
50.8,19.0,210,4100,0.0,1.0,0.0
49.2,15.2,221,6300,0.0,0.0,1.0
45.1,14.5,207,5050,0.0,0.0,1.0
52.7,19.8,197,3725,0.0,1.0,0.0
41.6,18.0,192,3950,1.0,0.0,0.0
37.0,16.5,185,3400,1.0,0.0,0.0
42.5,17.3,187,3350,0.0,1.0,0.0
47.7,15.0,216,4750,0.0,0.0,1.0
40.3,18.0,195,3250,1.0,0.0,0.0
38.3,19.2,189,3950,1.0,0.0,0.0
38.6,21.2,191,3800,1.0,0.0,0.0
48.1,16.4,199,3325,0.0,1.0,0.0
46.5,17.9,192,3500,0.0,1.0,0.0
52.2,18.8,197,3450,0.0,1.0,0.0
48.5,17.5,191,3400,0.0,1.0,0.0
37.2,18.1,178,3900,1.0,0.0,0.0
35.5,17.5,190,3700,1.0,0.0,0.0
50.5,18.4,200,3400,0.0,1.0,0.0
47.6,18.3,195,3850,0.0,1.0,0.0
40.6,18.8,193,3800,1.0,0.0,0.0
55.9,17.0,228,5600,0.0,0.0,1.0
48.7,15.7,208,5350,0.0,0.0,1.0
35.7,16.9,185,3150,1.0,0.0,0.0
34.6,17.2,189,3200,1.0,0.0,0.0
39.7,18.4,190,3900,1.0,0.0,0.0
41.1,18.6,189,3325,1.0,0.0,0.0
51.3,19.9,198,3700,0.0,1.0,0.0
53.5,19.9,205,4500,0.0,1.0,0.0
42.3,21.2,191,4150,1.0,0.0,0.0
46.5,14.4,217,4900,0.0,0.0,1.0
36.8,18.5,193,3500,1.0,0.0,0.0
37.9,18.6,172,3150,1.0,0.0,0.0
39.0,17.5,186,3550,1.0,0.0,0.0
52.8,20.0,205,4550,0.0,1.0,0.0
46.9,14.6,222,4875,0.0,0.0,1.0
39.5,17.8,188,3300,1.0,0.0,0.0
45.2,14.8,212,5200,0.0,0.0,1.0
41.8,19.4,198,4450,1.0,0.0,0.0
49.8,15.9,229,5950,0.0,0.0,1.0
47.5,15.0,218,4950,0.0,0.0,1.0
45.3,13.7,210,4300,0.0,0.0,1.0
41.1,19.1,188,4100,1.0,0.0,0.0
35.9,16.6,190,3050,1.0,0.0,0.0
42.4,17.3,181,3600,0.0,1.0,0.0
43.5,18.1,202,3400,0.0,1.0,0.0
33.5,19.0,190,3600,1.0,0.0,0.0
36.9,18.6,189,3500,1.0,0.0,0.0
47.3,15.3,222,5250,0.0,0.0,1.0
43.3,13.4,209,4400,0.0,0.0,1.0
39.2,19.6,195,4675,1.0,0.0,0.0
37.3,17.8,191,3350,1.0,0.0,0.0
46.2,14.4,214,4650,0.0,0.0,1.0
38.5,17.9,190,3325,1.0,0.0,0.0
42.9,17.6,196,4700,1.0,0.0,0.0
49.3,15.7,217,5850,0.0,0.0,1.0
49.6,18.2,193,3775,0.0,1.0,0.0
38.1,17.6,187,3425,1.0,0.0,0.0
39.2,21.1,196,4150,1.0,0.0,0.0
46.9,16.6,192,2700,0.0,1.0,0.0
45.7,17.0,195,3650,0.0,1.0,0.0
46.4,18.6,190,3450,0.0,1.0,0.0
37.3,16.8,192,3000,1.0,0.0,0.0
34.0,17.1,185,3400,1.0,0.0,0.0
39.2,18.6,190,4250,1.0,0.0,0.0
38.8,17.6,191,3275,1.0,0.0,0.0
37.5,18.5,199,4475,1.0,0.0,0.0
37.7,19.8,198,3500,1.0,0.0,0.0
48.4,16.3,220,5400,0.0,0.0,1.0
38.7,19.0,195,3450,1.0,0.0,0.0
50.5,19.6,201,4050,0.0,1.0,0.0
37.6,19.1,194,3750,1.0,0.0,0.0
40.5,18.9,180,3950,1.0,0.0,0.0
49.9,16.1,213,5400,0.0,0.0,1.0
50.2,14.3,218,5700,0.0,0.0,1.0
59.6,17.0,230,6050,0.0,0.0,1.0
46.0,21.5,194,4200,1.0,0.0,0.0
41.1,17.6,182,3200,1.0,0.0,0.0
44.0,13.6,208,4350,0.0,0.0,1.0
38.9,18.8,190,3600,1.0,0.0,0.0
50.6,19.4,193,3800,0.0,1.0,0.0
50.8,17.3,228,5600,0.0,0.0,1.0
40.8,18.4,195,3900,1.0,0.0,0.0
46.7,15.3,219,5200,0.0,0.0,1.0
55.1,16.0,230,5850,0.0,0.0,1.0
46.3,15.8,215,5050,0.0,0.0,1.0
39.6,18.8,190,4600,1.0,0.0,0.0
35.3,18.9,187,3800,1.0,0.0,0.0
43.8,13.9,208,4300,0.0,0.0,1.0
52.5,15.6,221,5450,0.0,0.0,1.0
38.6,17.0,188,2900,1.0,0.0,0.0
44.5,14.3,216,4100,0.0,0.0,1.0
39.8,19.1,184,4650,1.0,0.0,0.0
47.5,14.2,209,4600,0.0,0.0,1.0
51.5,18.7,187,3250,0.0,1.0,0.0
55.8,19.8,207,4000,0.0,1.0,0.0
43.2,14.5,208,4450,0.0,0.0,1.0
47.2,13.7,214,4925,0.0,0.0,1.0
